Country or Area,Internet Users,Population,Rank,Percentage,Rank
The Bahamas,"336,057","395,361",162,85.00%,32
Equatorial Guinea,"332,642","1,267,689",163,26.24%,165
Iceland,"329,196","335,025",164,98.26%,3
Cabo Verde,"312,315","546,388",165,57.16%,108
Somalia,"294,851","14,742,523",166,2.00%,208
Guyana,"290,375","777,859",167,37.33%,142
Suriname,"275,785","563,402",168,48.95%,126
Maldives,"275,717","436,330",169,63.19%,95
Barbados,"233,604","285,719",170,81.76%,41
New Caledonia,"226,557","276,255",171,82.01%,40
French Polynesia,"205,746","283,007",172,72.70%,72
Central African Republic,"202,204","4,659,080",173,4.34%,206
Belize,"176,400","374,681",174,47.08%,131
Guam,"132,221","164,229",175,80.51%,49
Aruba,"102,285","105,264",176,97.17%,8
Saint Lucia,"90,889","178,844",177,50.82%,119
Antigua and Barbuda,"77,529","102,012",178,76.00%,65
Andorra,"76,095","76,965",179,98.87%,1
Guinea-Bissau,"73,148","1,861,283",180,3.93%,207
Solomon Islands,"72,872","611,343",181,11.92%,193
Saint Vincent and the Grenadines,"72,048","109,897",182,65.56%,86
Vanuatu,"71,050","276,244",183,25.72%,166
Comoros,"69,020","813,912",184,8.48%,201
U.S. Virgin Islands,"67,535","104,901",185,64.38%,90
Eritrea,"66,402","5,068,831",186,1.31%,209
Samoa,"66,023","196,440",187,33.61%,149
Grenada,"63,692","107,825",188,59.07%,104
São Tomé and Príncipe,"61,155","204,327",189,29.93%,156
Bermuda,"60,349","61,349",190,98.37%,2
Seychelles,"55,677","94,737",191,58.77%,105
Dominica,"51,467","73,925",192,69.62%,79
Cayman Islands,"49,906","61,559",193,81.07%,46
Faroe Islands,"48,097","49,290",194,97.58%,7
Saint Kitts and Nevis,"44,669","55,345",195,80.71%,48
Tonga,"44,558","108,020",196,41.25%,136
Greenland,"39,242","56,480",197,69.48%,81
Jersey,"38,958","165,314",198,41.03% (2012),-
Monaco,"37,553","38,695",199,97.05%,10
"Micronesia, Federated States of","37,257","105,544",200,35.30%,144
Liechtenstein,"37,201","37,922",201,98.10%,4
Gibraltar,"32,494","34,571",202,94.44% (2016),-
Marshall Islands,"20,560","53,127",203,38.70%,138
San Marino,"20,100","33,400",204,60.18%,102
Kiribati,"16,971","116,398",205,14.58%,185
British Virgin Islands,"14,456","31,196",206,37.60% (2012),141
Anguilla,"12,043","14,909",207,81.57% (2016),44
Nauru,"6,475","11,359",208,57.00%,110
Tuvalu,"5,520","11,192",209,49.32%,124
Saint Helena,"2,906","4,534",210,37.60% (2012),-
Falkland Islands,"2,881","2,910",211,99.02% (2016),-
Montserrat,"2,833","5,177",212,54.55% (2013),115
Wallis and Futuna,"1,383","11,773",213,8.95% (2012),-
Niue,"1,034","1,618",214,86.90% (2013),30
Ascension,361,806,215,41.03% (2012),-
